N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE
173,NHN,"78,400","1,200",+1.55%,500,"15,339","19,565",11.23,"117,219",57.23,1.35,
174,KODEX 레버리지,"28,590",135,+0.47%,0,"15,324","53,600",5.10,"13,477,935",N/A,N/A,
175,솔루스첨단소재,"49,600",400,-0.80%,100,"15,173","30,590",4.74,"253,342",-137.02,-5.10,
176,롯데리츠,"6,210",100,+1.64%,500,"15,088","242,969",9.57,"1,152,598",36.10,1.83,
177,종근당,"132,000","1,500",-1.12%,"2,500","15,082","11,426",8.09,"38,294",16.99,17.88,
178,SK네트웍스,"6,020",190,-3.06%,"2,500","14,941","248,188",12.75,"1,640,147",14.44,1.63,
179,LG생활건강우,"706,000","4,000",-0.56%,"5,000","14,824","2,100",85.11,"4,039",15.22,N/A,
180,KODEX 종합채권(AA-이상)액티브,"108,835",5,0.00%,0,"14,815","13,612",0.00,"2,109",N/A,N/A,
181,부광약품,"20,700",750,-3.50%,500,"14,710","71,063",4.78,"1,225,433",-155.64,-2.46,
182,두산,"89,000",200,-0.22%,"5,000","14,706","16,524",10.65,"141,128",-10.71,-34.34,
183,JB금융지주,"7,450",130,+1.78%,"5,000","14,675","196,983",41.21,"491,901",3.68,10.06,
184,롯데관광개발,"21,000",750,-3.45%,500,"14,548","69,276",4.81,"1,081,406",-11.74,-30.43,
185,KODEX MSCI Korea TR,"13,900",60,+0.43%,0,"14,512","104,400",0.01,"276,802",N/A,N/A,
186,KODEX 200TR,"14,160",40,+0.28%,0,"14,295","100,950",0.02,"237,926",N/A,N/A,
187,세방전지,"101,000","3,500",-3.35%,500,"14,140","14,000",25.30,"141,812",18.33,6.14,
188,태광산업,"1,269,000","8,000",-0.63%,"5,000","14,129","1,113",7.32,"2,442",11.19,3.26,
189,솔루엠,"28,600",150,+0.53%,500,"14,111","49,339",3.61,"1,192,460",27.98,43.26,
190,롯데칠성,"156,000","1,500",-0.95%,500,"14,001","8,975",8.62,"35,911",210.24,-1.00,
191,한국콜마,"60,200",300,-0.50%,500,"13,774","22,881",28.06,"117,890",8.60,29.27,
192,LG전자우,"76,700",100,+0.13%,"5,000","13,182","17,186",41.02,"99,869",7.14,N/A,
193,코스맥스,"130,000","2,000",-1.52%,500,"13,064","10,050",22.25,"72,097",40.89,6.23,
194,이노션,"64,900",200,+0.31%,500,"12,980","20,000",30.31,"36,732",22.10,8.28,
195,아시아나항공,"17,200",0,0.00%,"5,000","12,799","74,412",20.77,0,-19.07,-43.83,
196,다우기술,"27,900",200,+0.72%,500,"12,518","44,867",22.31,"174,634",3.30,18.85,
197,KODEX 2차전지산업,"18,380",95,+0.52%,0,"12,370","67,300",0.09,"596,857",N/A,N/A,
198,보령제약,"23,500",200,+0.86%,500,"12,248","52,120",6.34,"204,886",32.37,8.62,
199,영풍,"663,000","9,000",-1.34%,"5,000","12,213","1,842",4.62,"2,226",8.92,4.03,
200,하나투어,"87,100",600,-0.68%,500,"12,141","13,939",7.30,"141,772",-6.65,-108.93,
